date,nav,daily_return
2026-04-16,0.743387,4.3247
2026-04-17,0.829979,11.6483
2026-04-20,0.836129,0.741
2026-04-21,0.811529,-2.9421
2026-04-22,0.798491,-1.6066
2026-04-23,0.790361,-1.0183
2026-04-24,0.788377,-0.2509
2026-04-27,0.794305,0.7519
2026-04-28,0.811777,2.1997
2026-04-29,0.814273,0.3075
2026-04-30,0.808033,-0.7663
2026-05-06,0.822864,1.8354
2026-05-07,0.892425,8.4535
2026-05-08,0.914367,2.4587
2026-05-11,1.017821,11.3143
2026-05-12,1.014831,-0.2938
2026-05-13,1.041971,2.6743
2026-05-14,1.031788,-0.9773
2026-05-15,0.983082,-4.7205
2026-05-18,1.012665,3.0092
2026-05-19,1.035501,2.255
2026-05-20,1.048476,1.253
2026-05-21,1.143972,9.1081
2026-05-22,1.194749,4.4387
2026-05-25,1.194749,0.0
2026-05-26,1.194749,0.0
2026-05-27,1.194749,0.0
2026-05-28,1.194749,0.0
2026-05-29,1.194749,0.0
2026-06-01,1.194749,0.0
2026-06-02,1.5884,32.9484
